fst,fst_adj,site_pair,siteA,siteB,REG,riverA,riverB
0.125107,0.183787,bear.bear_grhn,bear,bear_grhn,REG,bear,bear
0.102724,0.093916,bear.bear_stho,bear,bear_stho,REG,bear,bear
0.196641,0.173942,bear.bear_stho_haw,bear,bear_stho_haw,REG,bear,bear
0.085529,0.086479,bear.bear_sthohaw,bear,bear_sthohaw,REG,bear,bear
0.074278,0.139693,bear_grhn.bear_stho,bear_grhn,bear_stho,REG,bear,bear
0.293628,0.259768,bear_grhn.bear_stho_haw,bear_grhn,bear_stho_haw,REG,bear,bear
0.063131,0.136337,bear_grhn.bear_sthohaw,bear_grhn,bear_sthohaw,REG,bear,bear
0.284824,0.154847,bear_stho.bear_stho_haw,bear_stho,bear_stho_haw,REG,bear,bear
0.12128800000000001,0.208857,mfa_amec.mfa_gasc,mfa_amec,mfa_gasc,REG,mfa,mfa
0.122239,0.21427,mfa_amec.mfa_todc,mfa_amec,mfa_todc,REG,mfa,mfa
0.151676,0.237573,mfa_amec.nfmfa_ox,mfa_amec,nfmfa_ox,REG,mfa,nfmfa
0.146857,0.237948,mfa_amec.nfmfa_sc,mfa_amec,nfmfa_sc,REG,mfa,nfmfa
0.128609,0.252133,mfa_amec.rub_lcus,mfa_amec,rub_lcus,REG,mfa,rub
0.142379,0.261847,mfa_amec.rub_usph,mfa_amec,rub_usph,REG,mfa,rub
0.140455,0.261718,mfa_amec.sfa_cami,mfa_amec,sfa_cami,REG,mfa,sfa
0.100351,0.168044,mfa_gasc.mfa_todc,mfa_gasc,mfa_todc,REG,mfa,mfa
0.124443,0.221271,mfa_gasc.nfmfa_ox,mfa_gasc,nfmfa_ox,REG,mfa,nfmfa
0.122127,0.221388,mfa_gasc.nfmfa_sc,mfa_gasc,nfmfa_sc,REG,mfa,nfmfa
0.11966,0.244797,mfa_gasc.rub_lcus,mfa_gasc,rub_lcus,REG,mfa,rub
0.129383,0.254132,mfa_gasc.rub_usph,mfa_gasc,rub_usph,REG,mfa,rub
0.149265,0.288803,mfa_gasc.sfa_cami,mfa_gasc,sfa_cami,REG,mfa,sfa
0.077292,0.228205,mfa_todc.nfmfa_ox,mfa_todc,nfmfa_ox,REG,mfa,nfmfa
0.076097,0.229105,mfa_todc.nfmfa_sc,mfa_todc,nfmfa_sc,REG,mfa,nfmfa
0.094198,0.244742,mfa_todc.rub_lcus,mfa_todc,rub_lcus,REG,mfa,rub
0.086328,0.250661,mfa_todc.rub_usph,mfa_todc,rub_usph,REG,mfa,rub
0.125903,0.281924,mfa_todc.sfa_cami,mfa_todc,sfa_cami,REG,mfa,sfa
0.050645,0.125631,mfy_oregck.mfy_us_oh,mfy_oregck,mfy_us_oh,REG,mfy,mfy
0.054583,0.16013,mfy_oregck.nfy,mfy_oregck,nfy,REG,mfy,nfy
0.124572,0.201325,mfy_oregck.nfy_slate,mfy_oregck,nfy_slate,REG,mfy,nfy
