Site_A,Site_B,Regulated,River,Reg_type_A,Reg_type_B,regType,River_distance_km,scaled_fst,sitepairID,SiteID_A,SiteID_B
bear,bear_grhn,Y,bear,Bypass,Bypass,Bypass,19.837,0.225189904,1,20,16
bear,bear_sth2,Y,bear,Bypass,Bypass,Bypass,2.936,0.103630946,2,20,19
bear,bear_stha,Y,bear,Bypass,Bypass,Bypass,2.057,0.210507203,3,20,18
bear,bear_sthc,Y,bear,Bypass,Bypass,Bypass,4.757,0.09469075,4,20,17
bear_grhn,bear_sth2,Y,bear,Bypass,Bypass,Bypass,22.773,0.162385214,5,16,19
bear_grhn,bear_stha,Y,bear,Bypass,Bypass,Bypass,21.894,0.35098622,6,16,18
bear_grhn,bear_sthc,Y,bear,Bypass,Bypass,Bypass,24.594,0.157809425,7,16,17
bear_sth2,bear_stha,Y,bear,Unregulated,Unregulated,Unregulated,1.743,0.183151917,8,19,18
mfa_amec,mfa_gasc,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,4.723,0.264062698,9,1,2
mfa_amec,mfa_todc,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,5.585,0.272750414,10,1,3
mfa_amec,nfmfa_sc,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,30.995,0.312163758,11,1,4
mfa_amec,rub_lcus,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,36.696,0.337077149,12,1,6
mfa_amec,rub_usph,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,32.346,0.354646437,13,1,5
mfa_gasc,mfa_todc,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,1.737,0.201923077,14,2,3
mfa_gasc,nfmfa_sc,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,27.146,0.284356537,15,2,4
mfa_gasc,rub_lcus,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,32.847,0.324152542,16,2,6
mfa_gasc,rub_usph,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,28.497,0.340662287,17,2,5
mfa_todc,nfmfa_sc,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,26.141,0.297185108,18,3,4
mfa_todc,rub_lcus,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,31.842,0.323977228,19,3,6
mfa_todc,rub_usph,Y,mfa,Hydropeaking,Hydropeaking,Hydropeaking,27.492,0.33457894,20,3,5
nfmfa_sc,rub_lcus,Y,nfmfa,Hydropeaking,Bypass,Hydropeaking,10.408,0.163873371,21,4,6
nfmfa_sc,rub_usph,Y,nfmfa,Hydropeaking,Bypass,Hydropeaking,6.058,0.164822365,22,4,5
rub_lcus,rub_usph,Y,rub,Bypass,Bypass,Bypass,4.35,0.171234481,23,6,5
nfa,nfa_bunc,N,nfa,Unregulated,Unregulated,Unregulated,10.837,0.118193,24,13,8
nfa,nfa_euch,N,nfa,Unregulated,Unregulated,Unregulated,21.311,0.091464746,25,13,14
nfa,nfa_indc,N,nfa,Unregulated,Unregulated,Unregulated,7.672,0.082837033,26,13,10
nfa,nfa_pond,N,nfa,Unregulated,Unregulated,Unregulated,16.92,0.121076233,27,13,7
nfa,nfa_robr,N,nfa,Unregulated,Unregulated,Unregulated,1.392,0.057082452,28,13,12
nfa,nfa_saic,N,nfa,Unregulated,Unregulated,Unregulated,48.857,0.13999088,29,13,15
nfa,nfa_shic,N,nfa,Unregulated,Unregulated,Unregulated,9.246,0.074229241,30,13,9
nfa,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,2.062,0.079214332,31,13,11
nfa_bunc,nfa_euch,N,nfa,Unregulated,Unregulated,Unregulated,32.147,0.170411985,32,8,14
nfa_bunc,nfa_indc,N,nfa,Unregulated,Unregulated,Unregulated,3.358,0.145737855,33,8,10
nfa_bunc,nfa_pond,N,nfa,Unregulated,Unregulated,Unregulated,6.494,0.184272856,34,8,7
nfa_bunc,nfa_robr,N,nfa,Unregulated,Unregulated,Unregulated,9.682,0.146263182,35,8,12
nfa_bunc,nfa_saic,N,nfa,Unregulated,Unregulated,Unregulated,59.693,0.219512195,36,8,15
nfa_bunc,nfa_shic,N,nfa,Unregulated,Unregulated,Unregulated,1.591,0.115324559,37,8,9
nfa_bunc,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,9.02,0.163061177,38,8,11
nfa_euch,nfa_indc,N,nfa,Unregulated,Unregulated,Unregulated,28.983,0.133272892,39,14,10
nfa_euch,nfa_pond,N,nfa,Unregulated,Unregulated,Unregulated,38.231,0.187648456,40,14,7
nfa_euch,nfa_robr,N,nfa,Unregulated,Unregulated,Unregulated,22.703,0.132887731,41,14,12
nfa_euch,nfa_saic,N,nfa,Unregulated,Unregulated,Unregulated,27.546,0.167815018,42,14,15
nfa_euch,nfa_shic,N,nfa,Unregulated,Unregulated,Unregulated,30.557,0.124985938,43,14,9
nfa_euch,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,23.373,0.15114539,44,14,11
nfa_indc,nfa_pond,N,nfa,Unregulated,Unregulated,Unregulated,9.442,0.168497312,45,10,7
nfa_indc,nfa_robr,N,nfa,Unregulated,Unregulated,Unregulated,6.517,0.121201928,46,10,12
nfa_indc,nfa_saic,N,nfa,Unregulated,Unregulated,Unregulated,56.529,0.197318008,47,10,15
nfa_indc,nfa_shic,N,nfa,Unregulated,Unregulated,Unregulated,1.768,0.083775875,48,10,9
nfa_indc,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,5.856,0.132502831,49,10,11
nfa_pond,nfa_robr,N,nfa,Unregulated,Unregulated,Unregulated,15.765,0.160362033,50,7,12
nfa_pond,nfa_saic,N,nfa,Unregulated,Unregulated,Unregulated,65.776,0.264062698,51,7,15
nfa_pond,nfa_shic,N,nfa,Unregulated,Unregulated,Unregulated,7.674,0.132759402,52,7,9
nfa_pond,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,15.103,0.184553423,53,7,11
nfa_robr,nfa_saic,N,nfa,Unregulated,Unregulated,Unregulated,50.249,0.184693757,54,12,15
nfa_robr,nfa_shic,N,nfa,Unregulated,Unregulated,Unregulated,8.091,0.1038746,55,12,9
nfa_robr,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,0.907,0.10631707,56,12,11
nfa_saic,nfa_shic,N,nfa,Unregulated,Unregulated,Unregulated,58.102,0.173846696,57,15,9
nfa_saic,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,50.918,0.198322349,58,15,11
nfa_shic,nfa_slar,N,nfa,Unregulated,Unregulated,Unregulated,7.429,0.118818528,59,9,11
mfy_oregck,mfy_us_oh,Y,mfy,Bypass,Bypass,Bypass,20.022,0.221150324,60,27,28
sfy,sfy_loga,Y,sfy,Bypass,Bypass,Bypass,16.453,0.185114956,61,26,25
sfy,sfy_misc,Y,sfy,Bypass,Bypass,Bypass,19.084,0.175640724,62,26,24
sfy,sfy_rockck,Y,sfy,Bypass,Bypass,Bypass,29.284,0.254390366,63,26,23
sfy,sfy_shadyck,Y,sfy,Bypass,Bypass,Bypass,56.139,0.227747084,64,26,21
sfy,sfy_springck,Y,sfy,Bypass,Bypass,Bypass,29.721,0.26984127,65,26,22
sfy_loga,sfy_misc,Y,sfy,Bypass,Bypass,Bypass,8.286,0.139471285,66,25,24
sfy_loga,sfy_rockck,Y,sfy,Bypass,Bypass,Bypass,18.486,0.238390093,67,25,23
sfy_loga,sfy_shadyck,Y,sfy,Bypass,Bypass,Bypass,45.341,0.215953307,68,25,21
sfy_loga,sfy_springck,Y,sfy,Bypass,Bypass,Bypass,18.923,0.260557166,69,25,22
sfy_misc,sfy_rockck,Y,sfy,Bypass,Bypass,Bypass,14.392,0.225189904,70,24,23
sfy_misc,sfy_shadyck,Y,sfy,Bypass,Bypass,Bypass,41.247,0.202790474,71,24,21
sfy_misc,sfy_springck,Y,sfy,Bypass,Bypass,Bypass,14.829,0.272102786,72,24,22
sfy_rockck,sfy_shadyck,Y,sfy,Bypass,Bypass,Bypass,26.855,0.245174947,73,23,21
sfy_rockck,sfy_springck,Y,sfy,Bypass,Bypass,Bypass,0.437,0.317523057,74,23,22
sfy_shadyck,sfy_springck,Y,sfy,Bypass,Bypass,Bypass,26.528,0.2667849,75,21,22
nfy,nfy_slate_cgrav,Y,nfy,Bypass,Bypass,Bypass,45.526,0.25502008,76,29,30
