Site,Latitude,Longitude,Elevation (m),HUC8 Name,NHD Stream Order,NHD Total Drainage Area (km2)
BEAR,39.17484,-120.899775,665.7989502,Upper Bear,4,136.3014
BEAR_GRHN,39.232063,-120.901893,820.534729,Upper Bear,2,10.764
BEAR_STHO,39.202307,-120.875371,736.8512573,Upper Bear,2,51.6735
BEAR_STHO_HAW,39.18833,-120.8981,706.9960938,Upper Bear,2,4.2813
MFA_AMEC,38.933963,-120.943562,240.3927917,North Fork American,2,9.1782
MFA_GASC,38.966512,-120.932521,241.8505859,North Fork American,1,12.5028
MFA_TODC,38.963848,-120.921578,367.7263184,North Fork American,2,9.9855
NFMFA_SC,39.022372,-120.736932,521.5720215,North Fork American,2,5.9751
RUB_LCUS,38.988871,-120.689958,415.1026306,North Fork American,5,806.2155
RUB_USPH,38.999276,-120.723327,360.5759277,North Fork American,5,816.0309
SFA_CAMI,38.811511,-120.57871,724.6998291,South Fork American,4,459.3969
MFY_US_OH,39.413048,-120.990346,624.1466675,Upper Yuba,4,374.9094
NFA,39.111151,-120.916844,386.4709778,North Fork American,4,605.3175
NFA_BUNC,39.037618,-120.91028,286.2874146,North Fork American,3,27.4374
NFA_EUCHDS,39.18492,-120.76204,579.5186157,North Fork American,4,508.2462
NFA_INDC,39.056651,-120.908539,296.1070557,North Fork American,2,23.7213
NFA_POND,38.999947,-120.940596,240.8255005,North Fork American,5,856.9953
NFA_ROBR,39.104505,-120.926715,400.0004578,North Fork American,1,4.1715
NFA_SAIC,39.216943,-120.495953,1005.578125,North Fork American,3,166.2381
NFA_SHIC,39.04073,-120.901354,279.7101746,North Fork American,4,141.1956
NFA_SLAR,39.098653,-120.925481,356.0791016,North Fork American,2,5.9679
NFY,39.511905,-120.977379,704.6862793,Upper Yuba,5,668.7576
SFY,39.353865,-120.734188,889.7744751,Upper Yuba,4,364.9212
SFY_LOGA,39.36914,-120.85258,1201.178955,Upper Yuba,1,5.2362
SFY_MCKI,39.36805,-120.83537,1083.980469,Upper Yuba,1,1.6578
SFY_MISC,39.360961,-120.88138,1094.631226,Upper Yuba,2,4.7961
SFY_ROCKCK,39.32983398,-120.9863358,593.5213623,Upper Yuba,4,710.3466
SFY_SCOTCHMAN,39.354734,-120.784413,867.56604,Upper Yuba,2,13.3659
SFY_SHADYCK,39.35433197,-121.0589981,675.0254517,Upper Yuba,2,14.5818
SFY_SPRINGCK,39.33233261,-120.9889984,595.1054077,Upper Yuba,3,23.8662
