MFA-AMEC	MFA-GASC	MFA-TODC	MFA-US-R	NFA	NFA-BUNC	NFA-EUCHDS	NFA-EUCHUS	NFA-INDC	NFA-LyonsPk	NFA-NFNFA	NFA-POND	NFA-ROBR	NFA-SAIC	NFA-SHIC	NFA-SLAR	NFMFA-SC	RUB-HighlandDS	RUB-HighlandLk	RUB-LC-US	RUB-USPH	RUB-Zitella	RUB-ZitellaLk
0	4272.471546315683	5591.470595522742	29917.459023058647	39569.627847914075	29510.535709879634	58700.06292625523	59655.516258390344	32828.22150475816	81292.1332734021	58700.06292625523	25248.185071049757	38386.75670292028	83534.65867186054	30222.383308317112	38386.75670292028	30143.51976740708	103349.22073153134	103349.22073153134	35635.5582134707	31109.240231862303	103349.22073153134	103349.22073153134
4272.471546315683	0	1318.9990492070592	25644.987476742972	43842.09939422976	33783.00725619531	62972.534472570915	63927.98780470603	37100.693051073846	77019.66172708641	62972.534472570915	29520.656617365436	42659.22824923596	87807.13021817623	34494.85485463279	42659.22824923596	25871.048221091394	99076.74918521565	99076.74918521565	31363.086667155017	26836.76868554662	99076.74918521565	99076.74918521565
5591.470595522742	1318.9990492070592	0	24325.988427535907	45161.09844343682	35102.00630540238	64291.53352177798	65246.98685391309	38419.69210028091	75700.66267787936	64291.53352177798	30839.6556665725	43978.227298443024	89126.12926738328	35813.85390383985	43978.227298443024	24552.049171884337	97757.7501360086	97757.7501360086	30044.08761794796	25517.769636339563	97757.7501360086	97757.7501360086
29917.45902305865	25644.98747674297	24325.98842753591	0	69487.08687097272	59427.994732938285	88617.5219493139	89572.97528144902	62745.68052781682	51374.67425034344	88617.5219493139	55165.64409410841	68304.21572597894	113452.11769491919	60139.84233137577	68304.21572597894	4768.318529035553	73431.7617084727	73431.7617084727	5718.099190412048	1191.7812088036499	73431.7617084727	73431.7617084727
39569.627847914075	43842.09939422976	45161.09844343682	69487.08687097272	0	11001.889554144676	19130.435078341165	20085.888410476276	6741.40634315591	120861.76112131617	19130.435078341165	14321.442776864322	1182.8711449937946	43965.030823946465	9347.244539596963	1182.8711449937946	69713.14761532114	142918.84857944542	142918.84857944542	75205.18606138477	70678.86807977637	142918.84857944542	142918.84857944542
29510.53570987964	33783.00725619532	35102.006305402385	59427.994732938285	11001.889554144675	0	30132.324632485845	31087.777964620956	4260.483210988765	110802.66898328174	30132.324632485845	4262.35063882988	9819.01840915088	54966.920378091134	1654.6450145477138	9819.01840915088	59654.05547728671	132859.75644141098	132859.75644141098	65146.09392335033	60619.77594174193	132859.75644141098	132859.75644141098
58700.06292625524	62972.53447257092	64291.53352177799	88617.5219493139	19130.435078341165	30132.324632485837	0	955.4533321351119	25871.841421497076	139992.19619965734	0	33451.87785520549	20313.30622333496	24834.595745605297	28477.679617938127	20313.30622333496	88843.58269366233	162049.28365778658	162049.28365778658	94335.62113972595	89809.30315811755	162049.28365778658	162049.28365778658
59655.516258390344	63927.98780470603	65246.98685391309	89572.97528144902	20085.888410476276	31087.77796462095	955.4533321351116	0	26827.294753632188	140947.64953179244	955.4533321351116	34407.3311873406	21268.759555470075	23879.14241347018	29433.13295007324	21268.759555470075	89799.03602579744	163004.7369899217	163004.7369899217	95291.07447186107	90764.75649025266	163004.7369899217	163004.7369899217
32828.221504758156	37100.69305107384	38419.6921002809	62745.68052781682	6741.40634315591	4260.483210988767	25871.841421497073	26827.294753632184	0	114120.35477816025	25871.841421497073	7580.036433708411	5558.535198162115	50706.43716710237	2605.838196441053	5558.535198162115	62971.74127216525	136177.44223628953	136177.44223628953	68463.77971822886	63937.46173662046	136177.44223628953	136177.44223628953
81292.1332734021	77019.66172708641	75700.66267787936	51374.67425034344	120861.76112131616	110802.66898328174	139992.19619965734	140947.64953179244	114120.35477816025	0	139992.19619965734	106540.31834445184	119678.88997632237	164826.79194526264	111514.51658171922	119678.88997632237	56142.992779379	124806.43595881615	124806.43595881615	57092.77344075549	52566.45545914709	124806.43595881615	124806.43595881615
58700.06292625524	62972.53447257092	64291.53352177799	88617.5219493139	19130.435078341165	30132.324632485837	0	955.4533321351119	25871.841421497076	139992.19619965734	0	33451.87785520549	20313.30622333496	24834.595745605297	28477.679617938127	20313.30622333496	88843.58269366233	162049.28365778658	162049.28365778658	94335.62113972595	89809.30315811755	162049.28365778658	162049.28365778658
25248.185071049757	29520.65661736544	30839.655666572497	55165.644094108415	14321.44277686432	4262.35063882988	33451.87785520549	34407.33118734059	7580.03643370841	106540.31834445184	33451.87785520549	0	13138.571631870525	58286.47360081079	4974.198237267358	13138.571631870525	55391.70483845683	128597.40580258108	128597.40580258108	60883.74328452045	56357.42530291205	128597.40580258108	128597.40580258108
38386.75670292028	42659.22824923596	43978.227298443024	68304.21572597894	1182.8711449937946	9819.018409150882	20313.30622333496	21268.75955547007	5558.535198162115	119678.88997632239	20313.30622333496	13138.571631870527	0	45147.90196894026	8164.373394603168	0	68530.27647032736	141735.97743445166	141735.97743445166	74022.31491639098	69495.99693478258	141735.97743445166	141735.97743445166
83534.65867186054	87807.13021817623	89126.12926738328	113452.11769491919	43965.03082394646	54966.920378091134	24834.595745605297	23879.14241347018	50706.43716710237	164826.79194526264	24834.595745605297	58286.47360081078	45147.901968940256	0	53312.27536354342	45147.901968940256	113678.1784392676	186883.87940339188	186883.87940339188	119170.21688533123	114643.89890372283	186883.87940339188	186883.87940339188
30222.38330831711	34494.85485463279	35813.85390383985	60139.84233137577	9347.24453959696	1654.6450145477138	28477.679617938124	29433.132950073235	2605.838196441051	111514.51658171922	28477.679617938124	4974.198237267358	8164.373394603166	53312.27536354342	0	8164.373394603166	60365.90307572419	133571.60403984846	133571.60403984846	65857.94152178781	61331.62354017941	133571.60403984846	133571.60403984846
38386.75670292028	42659.22824923596	43978.227298443024	68304.21572597894	1182.8711449937946	9819.018409150882	20313.30622333496	21268.75955547007	5558.535198162115	119678.88997632239	20313.30622333496	13138.571631870527	0	45147.90196894026	8164.373394603168	0	68530.27647032736	141735.97743445166	141735.97743445166	74022.31491639098	69495.99693478258	141735.97743445166	141735.97743445166
30143.519767407077	25871.048221091394	24552.049171884337	4768.318529035554	69713.14761532116	59654.05547728671	88843.58269366233	89799.03602579742	62971.74127216525	56142.992779379	88843.58269366233	55391.704838456826	68530.27647032737	113678.1784392676	60365.90307572419	68530.27647032737	0	78200.08023750824	78200.08023750824	10486.417719447601	5960.099737839203	78200.08023750824	78200.08023750824
103349.22073153134	99076.74918521565	97757.7501360086	73431.76170847268	142918.84857944545	132859.75644141098	162049.28365778658	163004.7369899217	136177.44223628953	124806.43595881615	162049.28365778658	128597.4058025811	141735.97743445163	186883.87940339188	133571.60403984846	141735.97743445163	78200.08023750824	0	0	67713.66251806065	72239.98049966905	0	0
103349.22073153134	99076.74918521565	97757.7501360086	73431.76170847268	142918.84857944545	132859.75644141098	162049.28365778658	163004.7369899217	136177.44223628953	124806.43595881615	162049.28365778658	128597.4058025811	141735.97743445163	186883.87940339188	133571.60403984846	141735.97743445163	78200.08023750824	0	0	67713.66251806065	72239.98049966905	0	0
35635.5582134707	31363.086667155017	30044.08761794796	5718.099190412049	75205.18606138477	65146.09392335032	94335.62113972595	95291.07447186107	68463.77971822886	57092.773440755496	94335.62113972595	60883.74328452045	74022.31491639098	119170.21688533123	65857.94152178781	74022.31491639098	10486.417719447603	67713.66251806065	67713.66251806065	0	4526.317981608398	67713.66251806065	67713.66251806065
31109.240231862303	26836.76868554662	25517.769636339563	1191.7812088036517	70678.86807977637	60619.77594174193	89809.30315811755	90764.75649025266	63937.46173662046	52566.455459147095	89809.30315811755	56357.42530291205	69495.99693478258	114643.89890372283	61331.62354017941	69495.99693478258	5960.099737839203	72239.98049966904	72239.98049966904	4526.317981608398	0	72239.98049966904	72239.98049966904
103349.22073153134	99076.74918521565	97757.7501360086	73431.76170847268	142918.84857944545	132859.75644141098	162049.28365778658	163004.7369899217	136177.44223628953	124806.43595881615	162049.28365778658	128597.4058025811	141735.97743445163	186883.87940339188	133571.60403984846	141735.97743445163	78200.08023750824	0	0	67713.66251806065	72239.98049966905	0	0
103349.22073153134	99076.74918521565	97757.7501360086	73431.76170847268	142918.84857944545	132859.75644141098	162049.28365778658	163004.7369899217	136177.44223628953	124806.43595881615	162049.28365778658	128597.4058025811	141735.97743445163	186883.87940339188	133571.60403984846	141735.97743445163	78200.08023750824	0	0	67713.66251806065	72239.98049966905	0	0
